Clip,Start,End
483,1,20443
NaN,20444,25243
584,25244,45477
NaN,45478,48677
482,48678,70766
NaN,70767,72899
585,72900,85108
NaN,85109,86530
344,86531,105272
NaN,105273,106220
332,106221,133687
NaN,133688,134319
434,134320,155552
NaN,155553,155973
587,155974,176143
NaN,176144,176424
312,176425,201170
NaN,201171,201357
484,201358,228927
NaN,228928,229052
354,229053,253593
NaN,253594,253676
480,253677,279712
NaN,279713,279767
308,279768,305667
NaN,305668,305704
333,305705,329641
NaN,329642,329666
496,329667,351567
NaN,351568,351583
481,351584,374744
NaN,374745,374755
493,374756,398204
NaN,398205,398211
435,398212,425258
NaN,425259,425263
485,425264,450044
NaN,450045,450047
307,450048,477171
NaN,477172,477173
